x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
72,7,13,14,0,8,0,0,0,0,20,0,11,7,0,12,0,0,0
73,5,31,31,57,61,0,42,6,13,128,16,94,15,44,67,0,43,9
73,6,23,24,62,60,0,45,0,0,124,13,86,9,54,55,0,41,0
73,7,46,45,55,75,0,51,0,0,141,17,98,18,47,66,0,39,0
73,8,65,78,83,95,0,76,0,0,178,16,126,35,70,83,0,50,0
73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4,19,24,32,37,0,27,0,0,75,14,55,5,22,38,0,28,0
74,5,79,73,79,97,10,66,6,0,198,27,129,33,66,101,8,63,7
74,6,48,36,39,43,0,29,0,0,81,0,53,22,12,38,0,24,0
74,7,72,64,34,68,0,47,0,0,138,8,87,29,31,70,0,40,0
74,8,116,119,66,100,0,86,0,0,210,14,153,40,64,110,0,67,0
74,9,31,24,23,33,0,19,0,0,69,0,49,9,28,36,0,19,0
74,10,95,101,115,128,22,93,0,0,263,47,183,30,101,135,19,90,0
74,11,133,182,155,209,22,149,21,13,423,76,281,66,183,214,27,132,28
75,4,100,146,154,169,23,116,24,0,346,44,239,58,179,177,16,123,25
75,5,47,34,64,58,0,43,6,0,119,10,78,20,41,50,0,35,5
75,6,83,78,50,78,0,48,5,0,161,17,105,38,43,83,0,46,6
75,7,337,439,126,303,12,203,71,12,607,42,355,210,190,304,10,152,119
75,8,178,210,214,249,36,179,26,36,501,77,340,84,209,252,36,161,37
75,9,98,64,65,93,11,63,0,0,189,41,120,27,32,96,19,57,0
75,10,139,149,122,151,20,109,13,0,317,43,216,55,120,166,15,107,20
75,11,288,351,288,348,46,258,38,27,744,105,506,133,308,396,49,248,87
75,12,46,38,64,62,0,50,6,0,123,9,92,16,46,61,0,42,10
76,3,30,38,69,62,8,49,5,11,122,15,92,15,66,60,7,43,10
76,4,182,220,260,286,35,199,40,44,570,80,385,105,246,284,27,186,58
76,5,116,120,95,128,11,90,10,0,261,46,169,46,95,133,9,79,15
76,6,75,76,53,79,6,47,13,0,160,19,102,34,40,81,5,48,15
76,7,125,117,76,117,10,80,5,0,228,35,147,46,48,111,5,67,13
76,8,144,133,111,135,8,98,19,0,269,20,186,58,95,134,7,88,29
76,9,110,82,58,99,7,62,10,0,182,19,119,40,35,83,5,47,14
76,10,131,183,155,203,22,159,18,11,407,57,297,45,177,204,35,138,27
76,11,250,360,378,422,49,326,42,43,852,114,619,119,432,430,59,293,63
76,12,142,226,297,279,32,224,23,92,595,72,446,77,289,316,40,222,54
77,0,23,17,43,48,5,34,0,0,85,15,59,8,34,37,5,25,0
77,1,0,0,0,7,0,0,0,0,12,0,8,0,0,5,0,0,0
77,3,72,74,113,103,0,81,12,0,217,14,149,48,105,109,0,68,31
77,4,128,96,146,147,0,102,22,0,277,35,181,61,112,130,0,79,24
77,5,155,141,151,175,25,116,32,0,354,62,215,77,122,179,31,99,45
77,6,81,73,59,82,0,55,0,0,174,23,120,24,42,92,0,53,0
77,7,130,108,115,137,17,100,11,0,268,45,179,44,87,131,20,79,18
77,8,208,201,175,231,33,172,21,0,453,64,312,74,145,222,31,140,40
77,9,89,84,37,74,0,53,0,0,147,7,97,37,38,73,0,44,0
77,10,176,209,189,244,29,174,32,0,464,66,325,73,194,220,27,151,29
77,11,213,240,248,262,27,197,31,11,563,75,378,110,249,301,38,181,79
77,12,44,62,41,62,6,39,9,0,138,25,83,30,50,76,12,44,15
78,0,115,101,179,171,16,128,16,0,329,38,227,60,132,158,15,99,27
78,1,264,171,395,314,39,246,25,0,649,83,468,98,281,335,44,222,55
78,2,231,384,530,523,79,379,62,136,1068,154,735,179,541,545,75,356,108
78,3,42,19,37,44,0,26,0,0,93,17,58,17,13,49,0,23,0
78,4,121,112,179,191,31,129,29,26,371,58,243,63,149,180,27,114,34
78,5,121,93,127,119,6,86,12,0,264,34,175,53,99,145,5,89,24
78,6,143,105,113,129,12,79,27,0,258,37,150,68,49,129,11,71,41
78,7,119,94,75,95,7,68,10,0,200,31,133,36,38,105,6,65,13
78,8,324,402,499,532,113,366,53,77,1130,229,776,125,484,598,116,410,72
78,9,228,338,396,423,71,306,45,107,874,139,609,126,388,451,68,303,71
78,10,146,121,92,135,9,94,10,0,273,41,183,44,76,138,16,75,25
78,11,136,160,136,187,23,138,18,0,349,53,237,55,141,162,23,99,26
78,12,20,22,0,12,0,5,5,0,29,0,14,13,0,17,0,9,8
79,0,150,71,153,136,13,89,14,0,270,46,171,53,62,134,13,82,20
79,1,148,80,130,135,10,94,12,0,257,47,162,48,42,122,7,68,18
79,2,135,130,178,177,27,124,21,11,361,50,244,64,140,184,23,120,34
79,3,195,246,246,292,40,196,49,0,576,83,376,117,280,284,34,180,68
79,4,107,102,122,125,7,88,19,0,254,27,163,61,96,129,6,75,33
79,5,150,92,119,128,15,81,25,0,262,43,158,61,54,134,17,77,31
79,6,152,109,88,115,11,65,14,0,235,21,141,66,41,120,10,56,29
79,7,112,91,104,135,16,83,13,0,252,44,153,53,75,117,5,64,24
79,8,133,183,228,253,33,182,8,14,507,96,355,56,242,254,32,173,17
79,9,158,131,111,141,7,99,13,0,280,38,186,56,78,139,6,87,22
79,10,159,170,167,204,21,152,20,0,391,54,271,66,160,187,15,119,36
79,11,185,212,212,258,33,185,21,20,495,71,347,77,205,237,19,162,31
79,12,0,13,11,17,0,10,0,0,30,6,16,8,14,13,0,6,0
80,0,123,87,103,126,26,70,16,0,241,51,138,52,64,115,20,68,17
80,1,117,100,90,105,0,77,6,0,215,22,147,43,60,110,0,70,11
80,2,170,135,157,170,17,123,25,0,341,46,232,57,113,171,23,109,32
80,3,190,288,256,308,50,217,40,31,649,105,432,112,313,341,55,215,59
80,4,181,254,147,201,20,124,48,16,452,47,255,146,188,251,17,131,92
80,5,105,83,78,108,6,74,13,0,199,17,137,40,64,91,6,52,16
80,6,134,127,115,137,8,97,16,0,282,40,184,58,102,145,7,87,23
80,7,210,213,182,217,25,156,23,0,458,63,310,85,167,241,24,154,42
80,8,178,181,163,199,22,141,19,0,403,59,270,74,152,204,22,129,40
80,9,247,245,206,257,31,186,33,0,517,66,352,99,190,260,27,166,66
80,10,248,274,234,296,49,209,34,0,611,103,403,105,231,315,41,194,71
80,11,182,247,227,275,43,203,20,15,560,86,394,80,258,285,33,191,49
80,12,20,20,19,28,0,22,0,0,70,16,44,7,19,42,0,22,0
81,0,148,131,89,124,5,87,16,0,254,30,167,53,56,130,10,80,20
81,1,91,115,83,116,5,84,16,12,221,23,156,42,85,105,5,72,16
81,2,171,198,172,220,25,164,20,17,431,61,294,76,173,211,30,130,36
81,3,117,159,145,182,21,124,12,13,369,43,253,70,167,187,16,116,28
81,4,133,110,122,133,6,92,26,0,266,34,165,67,93,133,6,73,41
81,5,167,249,274,283,31,192,50,69,602,79,408,115,286,319,26,216,59
81,6,144,148,152,172,23,133,9,11,348,48,240,60,141,176,19,107,21
81,7,200,204,109,181,35,119,24,0,388,75,228,85,107,207,35,109,61
81,8,219,236,192,234,32,175,25,0,496,68,340,88,189,262,36,165,50
81,9,321,400,341,425,61,315,49,50,857,116,593,148,367,432,55,278,99
81,10,183,225,91,187,25,133,27,0,375,53,248,70,125,188,28,115,43
81,11,307,424,440,499,70,372,51,66,1001,137,713,151,474,502,62,341,83
81,12,67,79,76,91,0,71,5,0,183,19,141,16,85,83,0,64,11
81,13,72,79,109,123,26,90,5,0,230,42,165,23,107,107,16,75,5
81,14,0,13,12,16,0,12,0,0,30,5,23,0,17,14,0,11,0
82,0,276,405,366,443,73,308,54,101,914,143,601,170,382,471,60,293,102
82,1,153,180,170,192,31,127,31,17,422,72,267,83,161,230,41,140,39
82,2,131,164,166,187,19,128,32,16,391,49,256,80,172,204,24,128,40
82,3,154,138,119,145,12,101,20,0,297,39,197,60,84,152,13,96,23
82,4,147,199,226,238,25,169,35,34,486,61,336,89,239,248,22,167,42
82,5,206,497,584,600,89,406,104,291,1253,169,825,256,580,653,80,419,152
